job_id,title,category,description,required_skills,experience_level
65,Lead SAP Technical Consultant,,"Configure and customize SAP modules to meet business requirements. You will develop ABAP programs, create reports, and support SAP implementations. Strong knowledge of SAP ERP, ABAP programming, and database concepts is required. Experience with SAP HANA, Fiori, and integration technologies is preferred. Great opportunity for career growth and learning.","SAP,Oracle,SQL,ABAP,SAP HANA,Communication,Problem Solving,Project Management,Agile",Mid Level
66,Senior SAP Technical Consultant,,"Configure and customize SAP modules to meet business requirements. You will develop ABAP programs, create reports, and support SAP implementations. Strong knowledge of SAP ERP, ABAP programming, and database concepts is required. Experience with SAP HANA, Fiori, and integration technologies is preferred. Hybrid work model with flexible hours available.","SAP,Oracle,SQL,ABAP,SAP HANA,Communication,Problem Solving,Project Management,Agile",Lead
67,Mechanical Design Engineer,Mechanical Engineer,"Design and develop mechanical systems and components using CAD software. You will perform stress analysis, create technical drawings, and collaborate with manufacturing teams. Knowledge of SolidWorks, AutoCAD, and engineering fundamentals is required. Experience with FEA, MATLAB, and product development lifecycle is preferred.","AutoCAD,SolidWorks,MATLAB,C++,Problem Solving,Project Management,Communication,Teamwork",Mid Level
68,Lead Mechanical Design Engineer,,"Design and develop mechanical systems and components using CAD software. You will perform stress analysis, create technical drawings, and collaborate with manufacturing teams. Knowledge of SolidWorks, AutoCAD, and engineering fundamentals is required. Experience with FEA, MATLAB, and product development lifecycle is preferred. Hybrid work model with flexible hours available.","AutoCAD,SolidWorks,MATLAB,C++,Problem Solving,Project Management,Communication,Teamwork",Entry Level
69,Lead Mechanical Design Engineer,,"Design and develop mechanical systems and components using CAD software. You will perform stress analysis, create technical drawings, and collaborate with manufacturing teams. Knowledge of SolidWorks, AutoCAD, and engineering fundamentals is required. Experience with FEA, MATLAB, and product development lifecycle is preferred. Join our fast-growing team in this exciting role.","AutoCAD,SolidWorks,MATLAB,C++,Problem Solving,Project Management,Communication,Teamwork",Lead
70,Electrical Design Engineer,Electrical Engineering,"Design electrical systems, circuits, and control systems for industrial applications. You will create schematics, perform simulations, and oversee installations. Knowledge of AutoCAD Electrical, MATLAB/Simulink, and power systems is required. Experience with PLC programming and embedded systems is a plus.","AutoCAD,MATLAB,C++,Python,Problem Solving,Communication,Project Management,Linux",Mid Level
71,Junior Electrical Design Engineer,,"Design electrical systems, circuits, and control systems for industrial applications. You will create schematics, perform simulations, and oversee installations. Knowledge of AutoCAD Electrical, MATLAB/Simulink, and power systems is required. Experience with PLC programming and embedded systems is a plus. Hybrid work model with flexible hours available.","AutoCAD,MATLAB,C++,Python,Problem Solving,Communication,Project Management,Linux",Entry Level
72,Electrical Design Engineer,,"Design electrical systems, circuits, and control systems for industrial applications. You will create schematics, perform simulations, and oversee installations. Knowledge of AutoCAD Electrical, MATLAB/Simulink, and power systems is required. Experience with PLC programming and embedded systems is a plus. Great opportunity for career growth and learning.","AutoCAD,MATLAB,C++,Python,Problem Solving,Communication,Project Management,Linux",Senior
73,Civil/Structural Engineer,Civil Engineer,"Design and oversee construction projects including buildings, bridges, and infrastructure. You will prepare structural calculations, review designs, and ensure compliance with building codes. Knowledge of AutoCAD, structural analysis software, and project management is required.","AutoCAD,Project Management,Communication,Problem Solving,Excel,Leadership,Teamwork",Mid Level
74,Senior Civil/Structural Engineer,,"Design and oversee construction projects including buildings, bridges, and infrastructure. You will prepare structural calculations, review designs, and ensure compliance with building codes. Knowledge of AutoCAD, structural analysis software, and project management is required. Join our fast-growing team in this exciting role.","AutoCAD,Project Management,Communication,Problem Solving,Excel,Leadership,Teamwork",Senior
75,Junior Civil/Structural Engineer,,"Design and oversee construction projects including buildings, bridges, and infrastructure. You will prepare structural calculations, review designs, and ensure compliance with building codes. Knowledge of AutoCAD, structural analysis software, and project management is required. Join our fast-growing team in this exciting role.","AutoCAD,Project Management,Communication,Problem Solving,Excel,Leadership,Teamwork",Senior
76,HR Business Partner,HR,"Partner with business leaders to drive HR strategy, talent management, and employee engagement. You will manage recruitment, performance reviews, and employee relations. Strong communication, organizational, and analytical skills are required. Experience with HRIS systems and employment law is preferred.","Communication,Leadership,Excel,Presentation,Negotiation,Problem Solving,Stakeholder Management,Project Management",Mid Level
77,Senior HR Business Partner,,"Partner with business leaders to drive HR strategy, talent management, and employee engagement. You will manage recruitment, performance reviews, and employee relations. Strong communication, organizational, and analytical skills are required. Experience with HRIS systems and employment law is preferred. Join our fast-growing team in this exciting role.","Communication,Leadership,Excel,Presentation,Negotiation,Problem Solving,Stakeholder Management,Project Management",Mid Level
78,Lead HR Business Partner,,"Partner with business leaders to drive HR strategy, talent management, and employee engagement. You will manage recruitment, performance reviews, and employee relations. Strong communication, organizational, and analytical skills are required. Experience with HRIS systems and employment law is preferred. Remote-friendly position with competitive benefits.","Communication,Leadership,Excel,Presentation,Negotiation,Problem Solving,Stakeholder Management,Project Management",Entry Level
79,Business Development Manager,Sales,"Drive revenue growth through strategic sales initiatives and client relationship management. You will identify new business opportunities, negotiate contracts, and manage key accounts. Strong communication, negotiation, and presentation skills are required. Experience with CRM tools (Salesforce) and B2B sales is preferred.","Communication,Negotiation,Presentation,Salesforce,Excel,Leadership,Problem Solving,Stakeholder Management,Time Management",Mid Level
80,Lead Business Development Manager,,"Drive revenue growth through strategic sales initiatives and client relationship management. You will identify new business opportunities, negotiate contracts, and manage key accounts. Strong communication, negotiation, and presentation skills are required. Experience with CRM tools (Salesforce) and B2B sales is preferred. Hybrid work model with flexible hours available.","Communication,Negotiation,Presentation,Salesforce,Excel,Leadership,Problem Solving,Stakeholder Management,Time Management",Entry Level
81,Staff Business Development Manager,,"Drive revenue growth through strategic sales initiatives and client relationship management. You will identify new business opportunities, negotiate contracts, and manage key accounts. Strong communication, negotiation, and presentation skills are required. Experience with CRM tools (Salesforce) and B2B sales is preferred. Work with cutting-edge technologies in a collaborative environment.","Communication,Negotiation,Presentation,Salesforce,Excel,Leadership,Problem Solving,Stakeholder Management,Time Management",Mid Level
82,Operations Manager,Operations Manager,"Oversee daily operations, optimize processes, and manage team performance. You will implement operational strategies, monitor KPIs, and drive continuous improvement. Strong leadership, analytical, and project management skills are required. Experience with Lean/Six Sigma and ERP systems is preferred.","Leadership,Project Management,Communication,Excel,Problem Solving,Agile,Stakeholder Management,Time Management,Presentation",Senior
83,Senior Operations Manager,,"Oversee daily operations, optimize processes, and manage team performance. You will implement operational strategies, monitor KPIs, and drive continuous improvement. Strong leadership, analytical, and project management skills are required. Experience with Lean/Six Sigma and ERP systems is preferred. Join our fast-growing team in this exciting role.","Leadership,Project Management,Communication,Excel,Problem Solving,Agile,Stakeholder Management,Time Management,Presentation",Mid Level
84,Junior Operations Manager,,"Oversee daily operations, optimize processes, and manage team performance. You will implement operational strategies, monitor KPIs, and drive continuous improvement. Strong leadership, analytical, and project management skills are required. Experience with Lean/Six Sigma and ERP systems is preferred. Remote-friendly position with competitive benefits.","Leadership,Project Management,Communication,Excel,Problem Solving,Agile,Stakeholder Management,Time Management,Presentation",Mid Level
85,Corporate Lawyer,Advocate,"Provide legal counsel on corporate matters including contracts, compliance, and intellectual property. You will draft legal documents, review agreements, and represent the company in legal proceedings. Strong analytical, communication, and research skills are required.","Communication,Negotiation,Problem Solving,Leadership,Presentation,Time Management",Mid Level
86,Lead Corporate Lawyer,,"Provide legal counsel on corporate matters including contracts, compliance, and intellectual property. You will draft legal documents, review agreements, and represent the company in legal proceedings. Strong analytical, communication, and research skills are required. Join our fast-growing team in this exciting role.","Communication,Negotiation,Problem Solving,Leadership,Presentation,Time Management",Lead
87,Staff Corporate Lawyer,,"Provide legal counsel on corporate matters including contracts, compliance, and intellectual property. You will draft legal documents, review agreements, and represent the company in legal proceedings. Strong analytical, communication, and research skills are required. Great opportunity for career growth and learning.","Communication,Negotiation,Problem Solving,Leadership,Presentation,Time Management",Lead
88,Creative Director,Arts,"Lead creative vision and design strategy for brands and campaigns. You will oversee design teams, direct visual content creation, and ensure brand consistency. Strong skills in Adobe Creative Suite, design thinking, and team management are required.","Photoshop,Illustrator,Figma,Communication,Leadership,Presentation,Teamwork,Problem Solving",Senior
89,Senior Creative Director,,"Lead creative vision and design strategy for brands and campaigns. You will oversee design teams, direct visual content creation, and ensure brand consistency. Strong skills in Adobe Creative Suite, design thinking, and team management are required. Hybrid work model with flexible hours available.","Photoshop,Illustrator,Figma,Communication,Leadership,Presentation,Teamwork,Problem Solving",Lead
90,Lead Creative Director,,"Lead creative vision and design strategy for brands and campaigns. You will oversee design teams, direct visual content creation, and ensure brand consistency. Strong skills in Adobe Creative Suite, design thinking, and team management are required. Work with cutting-edge technologies in a collaborative environment.","Photoshop,Illustrator,Figma,Communication,Leadership,Presentation,Teamwork,Problem Solving",Mid Level
91,Health Data Analyst,Health and Fitness,"Analyze health and fitness data to drive insights for wellness programs. You will work with medical datasets, perform statistical analysis, and create reports. Knowledge of data analysis tools, statistics, and health informatics is required.","Python,SQL,Excel,Statistical Analysis,Data Visualization,Communication,Problem Solving,Tableau",Mid Level
92,Lead Health Data Analyst,,"Analyze health and fitness data to drive insights for wellness programs. You will work with medical datasets, perform statistical analysis, and create reports. Knowledge of data analysis tools, statistics, and health informatics is required. Hybrid work model with flexible hours available.","Python,SQL,Excel,Statistical Analysis,Data Visualization,Communication,Problem Solving,Tableau",Mid Level
93,Junior Health Data Analyst,,"Analyze health and fitness data to drive insights for wellness programs. You will work with medical datasets, perform statistical analysis, and create reports. Knowledge of data analysis tools, statistics, and health informatics is required. Great opportunity for career growth and learning.","Python,SQL,Excel,Statistical Analysis,Data Visualization,Communication,Problem Solving,Tableau",Lead
